Code,_id,Shop Name Tc,Shop Name En,DistrictTc,DistrictEn,Latitude,Longitude,Store.AddressTc,Store.AddressEn,Store.Is24Hours
1340,709,7-Eleven 上環 (非24小時營業),7-Eleven Sheung Wan (Non-24 Hours),上環,Sheung Wan,22.286463,114.1536893,香港中環德輔道中199號維德廣場1樓106號舖,"Shop No.106, First Floor, Infinitus Plaza, No.199 Des Voeux Road Central,  Hong Kong",FALSE
1131,551,7-Eleven 上環 (非24小時營業),7-Eleven Sheung Wan (Non-24 Hours),上環,Sheung Wan,22.2879098,114.1517914,香港干諾道中200號信德中心二樓289號舖,"Shop 289 on 2nd Floor, Shun Tak Centre, 200 Connaught Road Central, Hong Kong",FALSE
153,48,7-Eleven 上環 (非24小時營業),7-Eleven Sheung Wan (Non-24 Hours),上環,Sheung Wan,22.285072,114.14083,香港高街88號地下,"G/F., 88 High Street, HK",FALSE
1461,817,7-Eleven 中環,7-Eleven Central,中環,Central,22.282396,114.1523011,香港上環士丹頓街卑利街63-63A號地下及閣樓C舖,"Shop C, G/F & Cockloft, Nos. 36, 36A & 36B Staunton Street, Nos. 63-63A Peel Street, Hong Kong",TRUE
1132,552,7-Eleven 中環,7-Eleven Central,中環,Central,22.2844157,114.1532866,香港上環威靈頓街166號地下,"G/F, 166 Wellington Street, Sheung Wan, Hong Kong",TRUE
830,353,7-Eleven 中環,7-Eleven Central,中環,Central,22.2815295,114.1526649,香港中環伊利近街40號地下舖,"G/F., No.40 Elgin Street, Central, Hong Kong",TRUE
449,149,7-Eleven 中環,7-Eleven Central,中環,Central,22.2800885,114.1508328,香港中環半山西摩道1號輝煌臺7號舖,"Shop 7, G/F., Fairview Height, 1 Seymour Road, HK",TRUE
1353,720,7-Eleven 中環,7-Eleven Central,中環,Central,22.2822997,114.1550909,香港中環威靈頓街76號地下,"Ground Floor, No.76 Wellington Street, Central, Kong Kong",TRUE
1492,845,7-Eleven 中環,7-Eleven Central,中環,Central,22.2807024,114.1551169,香港中環德己立街41號地下,"G/F, No.41 D’Aguilar Street, Central, H.K.",TRUE
518,193,7-Eleven 中環,7-Eleven Central,中環,Central,22.2813956,114.1562438,香港中環德忌立街8-12號業豐大廈地下D舖及閣樓,"Shop D, G/F & C/L., Yip Fung Building, 8-12 D'Aguilar Street, Central, HK",TRUE
894,390,7-Eleven 中環,7-Eleven Central,中環,Central,22.2856063,114.1542547,香港中環德輔道中154號地下,"G/F., 154 Des Voeux Rd Central, HK",TRUE
417,137,7-Eleven 中環,7-Eleven Central,中環,Central,22.2836623,114.1568012,香港中環砵典乍街2A 華人銀行大廈地下舖位,"G/F, The Chinese Bank Bldg, 2A Pottinger St, 61-65 Des Voeux Rd C, HK",TRUE
517,192,7-Eleven 中環,7-Eleven Central,中環,Central,22.2841437,114.1548504,香港中環租庇利街1號喜訊大廈地下C舖,"Shop C, G/F., Haleson Building, 1 Jubilee St., Central, HK",TRUE
1121,542,7-Eleven 中環,7-Eleven Central,中環,Central,22.2830744,114.1526411,香港中環荷李活道68-70A地下B舖及閣樓,"Shop B, G/F & M/F, No. 68-70A Hollywood Road, Hong Kong",TRUE
927,411,7-Eleven 中環,7-Eleven Central,中環,Central,22.282791,114.1539563,香港中環閣麟街37號祥興商業大廈地下,"Whole G/F., Cheung Hing Commercial Building, No.37 Cochrane Street, Central, Hong Kong",TRUE
937,420,7-Eleven 中環,7-Eleven Central,中環,Central,22.2835748,114.1548845,香港中環閣麟街9-11號地下及閣樓舖位,"G/F & C/L, 9-11 Cochrane Street, Central, HK",TRUE
