@relation 'pg_711-weka.filters.unsupervised.attribute.Remove-R1-5,9-11'

@attribute District {'Sheung Shui','Sheung Wan',Central,'Kowloon City','Kowloon Tong','Kowloon Bay',Jordan,Homantin,'Yuen Long','North Point',Mid-Level,Southern,'To Kwa Wan','Tai Wai','Tai Po',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Tseung Kwan O','Siu Sai Wan','Tsim Sha Tsui','Tsim Sha Tsui East','Tuen Mun','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Airport,Shatin,'Yau Tong',Yaumatei,'Sham Shui Po','Wan Chai','Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping','Shau Kei Wan',Fanling,'Hung Hom','Lo Wu','Mei Foo','Tsuen Wan','Lai Chi Kok','Lok Ma Chau','Kwai Chung','Lam Tin','Sai Wan Ho',Western,'Sai Kung','Kwun Tong','Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Cheung Sha Wan','Cheung Chau','Tsing Yi',Aberdeen,'Ma On Shan','Quarry Bay','Ap Lei Chau','Wong Tai Sin'}
@attribute Lat numeric
@attribute Long numeric

@data
'North Point',22.289854,114.195231
'North Point',22.290469,114.198748
'North Point',22.291639,114.203221
'North Point',22.290911,114.194982
'North Point',22.287487,114.192169
'North Point',22.287526,114.191612
'North Point',22.284882,114.191802
'North Point',22.288146,114.193322
'North Point',22.292343,114.201572
'North Point',22.291432,114.200458
'North Point',22.283358,114.191857
'North Point',22.283582,114.153016
'North Point',22.293747,114.199845
'North Point',22.291062,114.199963
'North Point',22.290759,114.202328
'North Point',22.28571,114.196294
'North Point',22.289489,114.193922
'North Point',22.284742,114.199578
'North Point',22.287528,114.193654
Mid-Level,22.270397,114.149923
Southern,22.237174,114.197146
Southern,22.2187,114.212649
'To Kwa Wan',22.32032,114.188142
'To Kwa Wan',22.317854,114.191132
'To Kwa Wan',22.313433,114.189341
'To Kwa Wan',22.317865,114.186278
'To Kwa Wan',22.309127,114.183673
'To Kwa Wan',22.316485,114.189401
'To Kwa Wan',22.322022,114.188384
'To Kwa Wan',22.313493,114.187783
'To Kwa Wan',22.315284,114.187292
'To Kwa Wan',22.319063,114.193362
'To Kwa Wan',22.321908,114.189779
'To Kwa Wan',22.32339,114.189243
'To Kwa Wan',22.32243,114.187455
'To Kwa Wan',22.325083,114.188115
