@relation mergedData

@attribute District {'The Peak','Wan Chai','Yau Tsim Mong','Sai Kung','Kowloon City','Kwun Tong','Central And Western',Eastern,'Tai Po','Tuen Mun','Sha Tin','Sham Shui Po',Southern,'Tsuen Wan','Kwai Tsing','North Point','Wong Tai Sin',Islands,'Yuen Long','Central & Western','Tung Lung Fort Special Area','Lantau South Country Park','Plover Cove Country Park','Sai Kung East Country Park','Pat Sin Leng Country Park','Ma On Shan Country Park','Sai Kung West Country Park','Plover Cove (extension) Country Park','Tai Lam Country Park','Sai Kung West Country Park (wan Tsai Extension)','Shing Mun Country Park','Lantau North Country Park','Tai Mo Shan Country Park','Tai Tam Country Park','Kam Shan Country Park','Lion Rock Country Park','Aberdeen Country Park','Tai Tam Country Park (quarry Bay Extension)','Clear Warer Bay Country Park','Tseung Kwan O','Discovery Bay',Aberdeen,Airport,'Sai Ying Pun','Ma On Shan','Lamma Island','Cheung Sha Wan','Tsim Sha Tsui','Kwai Chung',Central,'Shau Kei Wan','Sheung Shui','Peng Chau','Kowloon Central','Wah Fu','Mui Wo','Hong Kong East','Cheung Chau','Kowloon East','Sheung Wan','Kowloon Tong','Kowloon Bay',Jordan,Homantin,Mid-Level,'To Kwa Wan','Tai Wai',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Siu Sai Wan','Tsim Sha Tsui East','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Shatin,'Yau Tong',Yaumatei,'Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping',Fanling,'Hung Hom','Lo Wu','Mei Foo','Lai Chi Kok','Lok Ma Chau','Lam Tin','Sai Wan Ho',Western,'Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Tsing Yi','Quarry Bay','Ap Lei Chau'}
@attribute Lat numeric
@attribute Lng numeric

@data
'Kwun Tong',22.317056,114.216966
'Sham Shui Po',22.339186,114.17272
'Kwai Tsing',22.355514,114.102711
Southern,22.221244,114.214028
Southern,22.241681,114.154592
'Sha Tin',22.373375,114.186949
'Yau Tsim Mong',22.32136,114.172623
'Sham Shui Po',22.338646,114.157635
Eastern,22.264852,114.23991
'North Point',22.504979,114.130447
'Wong Tai Sin',22.34637,114.200708
'Kowloon City',22.317142,114.187988
'Yuen Long',22.445143,114.035946
Eastern,22.276415,114.228359
'Yuen Long',22.463089,114.002007
'Sai Kung',22.382567,114.274643
'Sha Tin',22.383788,114.191837
Southern,22.24318,114.153625
'Sha Tin',22.379534,114.204672
'Tai Po',22.455299,114.1622
'Kowloon City',22.3136,114.185328
'Yuen Long',22.450297,114.023192
'Central And Western',22.279064,114.158863
Southern,22.219156,114.212208
'Kwun Tong',22.311862,114.222878
'Kowloon City',22.306699,114.212664
Eastern,22.264007,114.234535
'Kwun Tong',22.308898,114.23381
'Yau Tsim Mong',22.326065,114.173856
Eastern,22.289553,114.19373
'Yau Tsim Mong',22.324286,114.169004
Southern,22.249367,114.171931
'Tai Po',22.451969,114.167813
'Kwai Tsing',22.348917,114.105953
'Central And Western',22.286003,114.149626
Islands,22.308456,114.015749
Eastern,22.280082,114.227234
'Central And Western',22.286356,114.14512
'Kwun Tong',22.310105,114.237397
'Wong Tai Sin',22.335049,114.195871
'Yau Tsim Mong',22.312522,114.169152
'Wan Chai',22.279841,114.172861
'North Point',22.50254,114.127834
'North Point',22.494705,114.138206
'Wong Tai Sin',22.337126,114.196454
Eastern,22.29217,114.208345
'Tai Po',22.453883,114.174115
Eastern,22.281252,114.211367
'Sham Shui Po',22.334581,114.138601
'Tuen Mun',22.376657,113.963052
'Kowloon City',22.307272,114.187356
'Tuen Mun',22.39181,113.977139
'Yau Tsim Mong',22.299069,114.166121
Eastern,22.291369,114.204997
'Yau Tsim Mong',22.318606,114.167987
'Kwun Tong',22.309752,114.229352
'Yuen Long',22.445279,114.02722
'Sai Kung',22.311706,114.263176
'Central And Western',22.28572,114.136051
'Wan Chai',22.272108,114.188576
Southern,22.247335,114.159189
'North Point',22.5245,114.160642
Islands,22.210396,114.028769
'Tai Po',22.459861,114.171919
'Kwai Tsing',22.348813,114.1069
'Tuen Mun',22.391461,113.974072
'Wong Tai Sin',22.33831,114.190125
'Sha Tin',22.385549,114.186905
'Yau Tsim Mong',22.300517,114.173824
'Yau Tsim Mong',22.30179,114.169751
'Tsuen Wan',22.37194,114.120356
'Tsuen Wan',22.377648,114.111255
'Central And Western',22.289917,114.1455
'Kowloon City',22.311898,114.189735
'Yuen Long',22.441348,114.023912
Southern,22.247444,114.16631
