ShopName,Address_FullAddress,Address_Lat,Address_Lng,Address_LocationType,Address_PlaceID,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Baby Tears 日本式??????? 香港植睫毛 / 接睫毛 / 持久美妝 / semi-Permanent Makeup ?門美容室,"20/F, Golden Bloom Centre, 25 Jardine's Bazaar, Causewaybay, Hong Kong, 852 Hong Kong",22.2795787,114.1848082,ROOFTOP,ChIJOVoyu1YABDQRpnCKwFEW6_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娉婷護膚美容.化妝.眉型專業中心,"Shop A56 , G/F , Kwai Chung Plaza , 7-11 Kwai Foo Road , Kwai Chung, Hong Kong",22.3578771,114.1276845,ROOFTOP,ChIJPehqtr34AzQR1OpdrdG_QCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal's Yard Remedies Hong Kong,香港中環荷李活道65號,22.2829881,114.1527291,RANGE_INTERPOLATED,EiM2NSBIb2xseXdvb2QgUmQsIENlbnRyYWwsIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danz Avenue HK,"2/F, Grandmark, No.8A-10 Granville Road, Tsimshatsui, 852 Hong Kong",22.299429,114.1729642,ROOFTOP,ChIJTZgm0O0ABDQRnpCokSMNvWw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
藏天樂薰蒸站 Body Pulse Spa & Beauty,"北角北景街7號, 852 北角",22.2893412,114.1967199,ROOFTOP,ChIJh2qt8gMBBDQR3kVIVt7vAEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悠沐岩盤浴 Zen Stone Sauna,"Rm 1506, Futura Plaza, 111-113 How Ming Street, Kwun Tong, Kowloon, Hong Kong, nil Hong Kong",22.3118841,114.2244217,ROOFTOP,ChIJAQDQg08BBDQRkDk_RMrn5kE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Me,"Room B, 5th Floor Haywood Mansion, No.57 Paterson Street,, 999077 Causeway Bay",22.2820244,114.1847841,ROOFTOP,EjliLCBIYXl3b29kIE1hbnNpb24sIDU3IFBhdGVyc29uIFN0LCBFYXN0IFBvaW50LCBIb25nIEtvbmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMB Skincare,"Flat G, 14/F, Stage 2, Superluck Industrial Centre, 57 Sha Tsui Road, Tsuen Wan, Hong Kong",22.373481,114.110424,ROOFTOP,ChIJddO72u_4AzQRAsXdkq0sVFs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicox,"Unit 1701, 17/F, Sunbeam Plaza, 1155 Canton Road, Kowloon, Hong Kong",22.3221081,114.1662761,ROOFTOP,EjgxNzAxLCBTdW5iZWFtIFBsYXphLCAxMTU1IENhbnRvbiBSZCwgTW9uZyBLb2ssIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermana Korea Beauty 韓國護膚品專賣店,"葵芳.葵涌廣場1/F.B06, Hong Kong",22.3582898,114.1271907,ROOFTOP,ChIJaRTkxb34AzQROB3ymzYUugc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acupressure Slim Beauty 點穴瘦身堂,"香港九龍旺角亞皆老街39-41號金山商業大廈15C, 00000 Hong Kong",22.3194204,114.1685287,ROOFTOP,ChIJcyFI7scABDQReBUogM0j6R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dermes激光永久脫毛中心,香港粉嶺百和路88號花都廣場1座,22.485609,114.1406925,ROOFTOP,ChIJTW0V2Sb2AzQRfqP49DxSgrU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & C Beauty Care Slimming Center 慧妍纖體美容中心,"香港上環永吉街28~36號永吉利商業大?2樓236室, Hong Kong",22.2852735,114.1540906,ROOFTOP,EkUyMzYsIFdpbGx5IENvbW1lcmNpYWwgQnVpbGRpbmcsIDI4LTM2IFdpbmcgS3V0IFN0LCBDZW50cmFsLCBIb25nIEtvbmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioarchitect 拜奧雅?,"Hunghom, Central, CauewayBay, Mongkok, Kowloon, Hong Kong",22.3141684,114.1701775,ROOFTOP,ChIJ923Y08AABDQRZH-E12KGjBs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPE Dance Studio,"9F, South Asia Commercial Centre, 64 Tsun Yip St, Kwun Tong, Hong Kong",22.311621,114.223364,ROOFTOP,ChIJEbrVh0UBBDQRQEESxZaK6LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
